brow_lower_l,tongue_Scale_X,tongue_Scale__X,tongue_Scale_Y,tongue_Scale__Y,tongue_Scale_Z,tongue_Scale__Z,nose_out_l,nose_out_r,tongue_u,tongue_u_u,cheek_suck_r,brow_raise_d,mouth_stretch_u,tongue_u_d,tooth_d_d,tongue_d,tooth_r,tooth_d_u,cheek_UP,eye_blink1_l,eye_blink1_r,eye_blink2_l,eye_blink2_r,eye_lidTight_l,eye_lidTight_r,eye_shutTight_l,eye_shutTight_r,brow_lower_r,eye_upperLidRaise_l,eye_upperLidRaise_r,eye_downLidRaise_l,eye_downLidRaise_r,jaw_sideways_l,jaw_sideways_r,jaw_thrust_c,mouth_chew_c,mouth_chinRaise_d,mouth_chinRaise_u,brow_raise_c,mouth_dimple_l,mouth_dimple_r,mouth_funnel_dl,mouth_funnel_dr,mouth_funnel_ul,mouth_funnel_ur,mouth_lipCornerDepressFix_l,mouth_lipCornerDepressFix_r,mouth_lipCornerDepress_l,mouth_lipCornerDepress_r,brow_raise_l,mouth_lipCornerPullOpen_l,mouth_lipCornerPullOpen_r,mouth_lipCornerPull_l,mouth_lipCornerPull_r,mouth_lipStretchOpen_l,mouth_lipStretchOpen_r,mouth_lipStretch_l,mouth_lipStretch_r,mouth_lowerLipDepress_l,mouth_lowerLipDepress_r,brow_raise_r,mouth_lowerLipProtrude_c,mouth_oh_c,mouth_oo_c,mouth_pressFix_c,mouth_press_l,mouth_press_r,mouth_pucker_l,mouth_pucker_r,mouth_screamFix_c,mouth_sideways_l,cheek_puff_l,mouth_sideways_r,mouth_stretch_c,mouth_suck_dl,mouth_suck_dr,mouth_suck_ul,mouth_suck_ur,mouth_upperLipRaise_l,mouth_upperLipRaise_r,nose_wrinkle_l,nose_wrinkle_r,cheek_puff_r,tooth_l,eye_lookDown1_l,eye_lookDown2_l,eye_lookLeft_l,eye_lookRight_l,eye_lookUp_l,eye_lookDown1_r,eye_lookDown2_r,eye_lookLeft_r,cheek_raise_l,eye_lookRight_r,eye_lookUp_r,tongue_Rot_1X,tongue_Rot__1X,tongue_Rot_2X,tongue_Rot__2X,tongue_Rot_3X,tongue_Rot__3X,tongue_Rot_1Y,tongue_Rot__1Y,cheek_raise_r,tongue_Rot_2Y,tongue_Rot__2Y,tongue_Rot_3Y,tongue_Rot__3Y,tongue_Rot_1Z,tongue_Rot__1Z,tongue_Rot_2Z,tongue_Rot__2Z,tongue_Rot_3Z,tongue_Rot__3Z,cheek_suck_l
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,1.7162774383905344e-05,0.0,0.0,1.8196715245721864e-06,5.875490387552418e-07,0.0004622982814908028,0.0,0.0,1.1284978427283932e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0001572846813360229,0.0,0.0,0.0,0.0,0.0001889225241029635,0.0,-5.96419267822057e-05,-5.964195588603616e-05,0.0013109631836414335,0.0013109631836414335,0.0009218417108058927,0.0009218417108058927,0.0,0.0,0.0,0.0,0.0,-5.9641919506248093e-05,-5.9641999541781836e-05,0.0016564500983804464,0.0016564498655498028,0.0,0.0,0.0013012830168008804,0.0013012823183089495,0.0024872571229934692,0.0024783182889223103,0.0,0.0,0.003478527069091797,0.0005993228405714035,0.0,0.0011339569464325905,0.0011339574120938778,0.0016681645065546036,0.0016683172434568405,0.0,0.0,0.0,0.0,0.006775140762329102,0.0005252216942608356,0.0005252226255834104,0.0005873083136975764,0.0005873083136975764,0.0008589960634708406,0.0008192225359380245,-3.32066701957956e-05,-3.32066701957956e-05,0.0,-9.869154018815608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001244899923393404,0.0,0.0,-0.001260391218433226,-0.001261507387751359,-0.0007922864450180984,0.0,0.0,-0.001260954069762425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0011050253132884411,0.0,0.0,0.0,0.0,-0.0010726241757652959,0.0,-0.00132173450167802,-0.001321734537215338,6.11818537143774e-05,6.11818537143774e-05,-0.00033561121907941215,-0.00033561121907941215,0.0,0.0,0.0,0.0,0.0,-0.0013217344944020624,-0.0013217345873045728,0.0004026569482412177,0.00040265692128219066,0.0,0.0,3.9241208559269436e-05,3.9240510067338474e-05,0.0012294566818176547,0.001220542552340607,0.0,0.0,0.002209136879331568,-0.0006569755612824014,0.0,-0.00013059731903021336,-0.00013059685336892606,0.0004129596947334904,0.00041311243163572736,0.0,0.0,0.0,0.0,0.0058622213958757574,-0.0007342710116116525,-0.0007342704920323129,-0.0006727805963794801,-0.0006727805963794801,-0.0003910109017491066,-0.0004304113899108314,-0.0012950328922528512,-0.0012950328858193638,0.0,-0.0013607495994205823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0033735322865188558,0.0,0.0,-0.003389892626706267,-0.0033901302423084683,-0.00288437134630316,0.0,0.0,-0.0033895794382118784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0032363041542116996,0.0,0.0,0.0,0.0,-0.0031886245946785106,0.0,-0.0034504223362161173,-0.003450422384884449,-0.0019408171712671628,-0.0019408171712671628,-0.0024034397097215127,-0.0024034397097215127,0.0,0.0,0.0,0.0,0.0,-0.0034504223347667177,-0.0034504224189719074,-0.0015609175320453871,-0.001560918071061233,0.0,0.0,-0.002103903850576098,-0.0021039049219677194,-0.0008428980948290803,-0.0008518125155752149,0.0,0.0,-3.479340629780614e-05,-0.0027124613592228192,0.0,-0.002267140473648838,-0.0022671396350878604,-0.0016096759934272308,-0.0016095217649262361,0.0,0.0,0.0,0.0,0.003738898314823597,-0.0028170746222137277,-0.0028170741972198196,-0.0027741591918435653,-0.0027741591918435653,-0.002348973456338048,-0.002382341991646466,-0.0034215155128097634,-0.003421515487418706,0.0,-0.0034890254041333307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.006143797681223511,0.0,0.0,-0.006160080884364528,-0.00616055736491232,-0.005651958320835551,0.0,0.0,-0.006159945531170604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0060053652235749905,0.0,0.0,0.0,0.0,-0.005967794946344227,0.0,-0.006220779841507502,-0.006220779883019414,-0.004766572722304848,-0.004766572722304848,-0.005206463141322979,-0.005206463141322979,0.0,0.0,0.0,0.0,0.0,-0.006220779841769688,-0.006220779923100529,-0.004440280503032253,-0.004440281023914992,0.0,0.0,-0.004861025920748763,-0.00486102692801774,-0.003643506660105298,-0.0036523120241236176,0.0,0.0,-0.002736215844041573,-0.005521097470096867,0.0,-0.005042131541072074,-0.005042131287625762,-0.004442656643292346,-0.004442508923186178,0.0,0.0,0.0,0.0,0.0026228403994193877,-0.005616329032508142,-0.005616328277748505,-0.005559548035425174,-0.005559548035425174,-0.0052153943995230205,-0.0052524130365808955,-0.006192589927693261,-0.0061925899077470425,0.0,-0.006259589327189088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.009282536034026546,0.0,0.0,-0.00929856220217401,-0.00929898820713378,-0.008812929695646385,0.0,0.0,-0.009298492914658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.009145190710257586,0.0,0.0,0.0,0.0,-0.009095255873340084,0.0,-0.009359314618005096,-0.009359314661955165,-0.007857413278137184,-0.007857413278137184,-0.008310412763842229,-0.008310412763842229,0.0,0.0,0.0,0.0,0.0,-0.009359314618728357,-0.009359314709406118,-0.007445663509902743,-0.007445664184033057,0.0,0.0,-0.008018339386951224,-0.008018340283036302,-0.006749998212629955,-0.006759016664348402,0.0,0.0,-0.005953898215374009,-0.0086199822130765,0.0,-0.00816805976320472,-0.00816805954624273,-0.007509926403791209,-0.00750976895882496,0.0,0.0,0.0,0.0,-0.003709051065028321,-0.008720553026028036,-0.00872055281527151,-0.008681841195870496,-0.008681841527056238,-0.008248361821354886,-0.008281156151163784,-0.009330771645763965,-0.009330771643617609,0.0,-0.009397918369794946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.012558403093262553,0.0,0.0,-0.012575433053792707,-0.012575064744920785,-0.01203846631666879,0.0,0.0,-0.01257448903456778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.012422786191557629,0.0,0.0,0.0,0.0,-0.01236719839130335,0.0,-0.012635378726306691,-0.012635378770974825,-0.01104764776550565,-0.01104764776550565,-0.011553539758280076,-0.011553539758280076,0.0,0.0,0.0,0.0,0.0,-0.012635378717060056,-0.012635378801057865,-0.01066030243657767,-0.010660303000697459,0.0,0.0,-0.011294723255558671,-0.011294724268177472,-0.009995597153862713,-0.010004462549507182,0.0,0.0,-0.00928262806563757,-0.01185504406219122,0.0,-0.01146050256382498,-0.011460502356660955,-0.010736410907698526,-0.01073625633210485,0.0,0.0,0.0,0.0,-0.004711434088031423,-0.011977635319174153,-0.011977634338571744,-0.011943639210973054,-0.011943639018639981,-0.011438100292311331,-0.01146819636176042,-0.012605002793423713,-0.012605002792885435,0.0,-0.012673739289791715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.01579341741751395,0.0,0.0,-0.015810702562764047,-0.015809906727653533,-0.015268990555533928,0.0,0.0,-0.015809395836713522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.01565959929114835,0.0,0.0,0.0,0.0,-0.015590300543209902,0.0,-0.01587030708608115,-0.015870307125955094,-0.014198843029863982,-0.014198843029863982,-0.014741867596954734,-0.014741865081269658,0.0,0.0,0.0,0.0,0.0,-0.01587030707794674,-0.01587030715935807,-0.013747314588731324,-0.013747315264011087,0.0,0.0,-0.014546492954415013,-0.014546494008387853,-0.013187373900044076,-0.0131963561949789,0.0,0.0,-0.01261326571133968,-0.015034983454653775,0.0,-0.014692119212390789,-0.01469211869149522,-0.013884121893456607,-0.0138839608910385,0.0,0.0,0.0,0.0,-0.00968864965571166,-0.015172928555485167,-0.015172927595329337,-0.015157260559399928,-0.015157260482815169,-0.014537628554700609,-0.014562669949888703,-0.015838734322934797,-0.01583873432300134,0.0,-0.015908367657940584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.01884744783133411,0.0,0.0,-0.018865036947953363,-0.01886411198349683,-0.018310301840273824,0.0,0.0,-0.018863615858533585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.018705265651291783,0.0,0.0,0.0,0.0,-0.018631722342807168,0.0,-0.018921789663499222,-0.018921789701412485,-0.017415277166584545,-0.017415277166584545,-0.017835248987509426,-0.017835246751992016,0.0,0.0,0.0,0.0,0.0,-0.018921789655806043,-0.018921789745904652,-0.01694167993154487,-0.01694168080121731,0.0,0.0,-0.017538522056444177,-0.01753852281316754,-0.010981613883539604,-0.010990222531558604,0.0,0.0,-0.015793792766322715,-0.018149791068323408,0.0,-0.01775009144826454,-0.01775009096018207,-0.016953748451074453,-0.016953586251298815,0.0,0.0,0.0,0.0,-0.011002915614427303,-0.01830867560637136,-0.018308675275496004,-0.01832784340483462,-0.01832784337407886,-0.017352648962013467,-0.01740319472855819,-0.018891356120544447,-0.018891356120833883,0.0,-0.018960853750833492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.021610461961273517,0.0,0.0,-0.021629059770757943,-0.021626886398429794,-0.02085606181304743,0.0,0.0,-0.021626685001555637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.021452111394876544,0.0,0.0,0.0,0.0,-0.021321558955010263,0.0,-0.02167758030523463,-0.021677580339906813,-0.020258588388460827,-0.020258590849954378,-0.020616347792106963,-0.02061634814514511,0.0,0.0,0.0,0.0,0.0,-0.021677580295314698,-0.021677580379170107,-0.019563951339363554,-0.019563952127059983,0.0,0.0,-0.02028756056958749,-0.020287561208275337,-0.00071293138329908,-0.0007210211413384848,0.0,0.0,-0.018968406822654223,-0.020919775715850457,0.0,-0.020524024135482412,-0.020524023198754765,-0.019449208653939627,-0.01944901282032875,0.0,0.0,0.0,0.0,-0.017648009202567594,-0.021031578838881362,-0.02103157782977516,-0.02109655559180698,-0.021096555579375974,-0.019411546579981877,-0.019511340584148655,-0.021649311024565472,-0.021649311015315073,0.0,-0.021721419529660432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.02399451140499958,0.0,0.0,-0.024021728228020116,-0.024013485883666717,-0.02244706108676281,0.0,0.0,-0.024012737441197224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.02380352553273346,0.0,0.0,0.0,0.0,-0.023610694911739928,0.0,-0.024048987173307473,-0.02404898721143662,-0.022744083606079837,-0.022744084584025902,-0.023100259888363603,-0.023100260046637497,0.0,0.0,0.0,0.0,0.0,-0.024048987160125622,-0.024048987243870792,-0.022260910102147077,-0.022260910394175618,0.0,0.0,-0.02250009869888523,-0.022500099367302677,0.024049602725526628,0.024044727648234378,0.0,0.0,-0.021982512087842326,-0.023385894877060352,0.0,-0.02309020414302035,-0.023090203183349943,-0.0215277746199845,-0.021527586473787094,0.0,0.0,0.0,0.0,0.004331848984257813,-0.02350269359789288,-0.023502692625558763,-0.023589274947263254,-0.02358927524831131,-0.020551190163105068,-0.02076874796884584,-0.02401828260421976,-0.024018282603173596,0.0,-0.02410222868272318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
